seq_id	function	taxonomy	novelty	gcf_id
ERR2604091__k119_51356	terpene	-_cellular organisms;d_Bacteria	0.94425735130451	334
ERR2604091__k119_132743	terpene	-_cellular organisms	1.24098039482465	97
ERR2604091__k119_38826	terpene	-_cellular organisms	1.24250293049411	720
ERR2604091__k119_145294	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.22660764129902	97
ERR2604088__k119_102369	terpene	-_cellular organisms	1.18844763326324	690
ERR2604088__k119_9801	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.29039244289806	78
ERR2604088__k119_146697	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.03111056412128	321
ERR2604088__k119_116291	betalactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.22153227079783	527
ERR2604088__k119_73676	betalactone	-_cellular organisms;d_Bacteria	1.16417275911099	277
ERR2604090__k119_31395	terpene	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda	1.15382148828074	391
ERR2604090__k119_125516	terpene	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda	1.11001468536138	410
ERR2604090__k119_71061	terpene	-_cellular organisms;d_Bacteria	1.14401773604675	349
ERR2604090__k119_204358	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.652002284211001	241
ERR2604090__k119_126639	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium	1.1884942828089	391
ERR2604098__k119_234105	betalactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.24181367752838	527
ERR2604098__k119_45184	terpene	-_cellular organisms	1.12800404471394	3
ERR2604098__k119_308710	betalactone	-_cellular organisms	1.12583411649696	658
ERR2604098__k119_310000	terpene	-_cellular organisms	1.18844763326324	690
ERR2604098__k119_47448	phosphonate	-_cellular organisms;d_Bacteria	1.25201837762316	16
ERR2604098__k119_280307	terpene	-_cellular organisms	1.16072651737414	16
ERR2604098__k119_228023	terpene	-_cellular organisms	1.17102749179431	97
ERR2604098__k119_112223	arylpolyene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.24264935544453	757
ERR2604098__k119_313292	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	0.955471622536615	369
ERR2604099__k119_26594	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.05861485788794	454
ERR2604091__k119_9939	terpene	-_cellular organisms	1.11973099124538	97
ERR2604091__k119_66450	terpene	-_cellular organisms;d_Bacteria	1.15123687603943	714
ERR2604091__k119_16521	terpene	-_cellular organisms;d_Bacteria	1.21448181793232	553
ERR2604091__k119_92054	terpene	-_cellular organisms;d_Bacteria	1.1065191110616	391
ERR2604091__k119_124575	terpene	-_cellular organisms	1.23031522995367	97
ERR2604091__k119_174008	resorcinol	-_root	1.15006059844464	714
ERR2604091__k119_30112	terpene	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda	1.18670765457261	391
ERR2604091__k119_74002	betalactone	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales	1.16808775898823	192
ERR2604091__k119_24392	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota	0.866025403784439	79
ERR2604092__k119_188545	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.14862363937518	334
ERR2604090__k119_71549	ladderane	-_cellular organisms;d_Bacteria	0.81034398588788	1026
ERR2604090__k119_181640	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.856054197935415	241
ERR2604090__k119_118695	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.08572047376218	541
ERR2604090__k119_142768	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	1.075408007284	391
ERR2604090__k119_87464	T1PKS	-_cellular organisms;d_Bacteria;p_Pseudomonadota	0.798114732724847	967
ERR2604090__k119_1722	T3PKS	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;s_Bacillus subtilis;-_Bacillus subtilis subsp. subtilis;-_Bacillus subtilis subsp. subtilis str. 168	0.973734923557969	497
ERR2604090__k119_80117	terpene	-_cellular organisms;d_Bacteria	1.10753428493375	334
ERR2604090__k119_103883	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.28277912566411	78
ERR2604090__k119_80411	NRPS-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.03037024762923	133
ERR2604090__k119_151903	terpene	-_cellular organisms;d_Bacteria	1.29827368030913	17
ERR2604094__k119_89633	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.856054197935415	241
ERR2604094__k119_75341	arylpolyene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.17669777622805	1378
ERR2604094__k119_183396	betalactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.16129661408185	877
ERR2604094__k119_206204	terpene	-_cellular organisms	1.21958411164214	3
ERR2604094__k119_113653	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	0.997938842679136	454
ERR2604094__k119_178589	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.04192518218094	454
ERR2604094__k119_19485	terpene	-_cellular organisms	1.17797604572598	3
ERR2604094__k119_192110	terpene	-_cellular organisms;d_Bacteria	1.2118359943037	391
ERR2604094__k119_121784	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.14862363937518	334
ERR2604094__k119_193350	terpene	-_cellular organisms;d_Bacteria	1.16167181051534	391
ERR2604093__k119_19106	terpene	-_cellular organisms;d_Archaea	1.15382148828074	391
ERR2604093__k119_103706	terpene	-_cellular organisms;d_Bacteria	1.2210357740007	391
ERR2604093__k119_19276	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium	1.14862363937518	334
ERR2604093__k119_55493	terpene	-_cellular organisms;d_Bacteria	1.14898072275	714
ERR2604093__k119_139758	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.20827936949601	51
ERR2604093__k119_164365	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.02454831095482	369
ERR2604093__k119_67873	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.02769627513478	541
ERR2604093__k119_31801	terpene	-_cellular organisms	1.12800404471394	3
ERR2604093__k119_19867	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Ureaplasma;s_Ureaplasma parvum;-_Ureaplasma parvum serovar 3;-_Ureaplasma parvum serovar 3 str. ATCC 700970	1.20479110378276	806
ERR2604106__k119_337868	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.18245559319225	51
ERR2604084__k119_135154	betalactone	-_cellular organisms;d_Bacteria	1.20737817827057	527
ERR2604085__k119_215710	terpene	-_cellular organisms	1.13835936018581	97
ERR2604085__k119_236531	betalactone	-_cellular organisms;d_Bacteria	1.16417275911099	277
ERR2604085__k119_89747	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.01826192079358	369
ERR2604085__k119_149787	betalactone	-_cellular organisms;d_Bacteria	1.20892263190542	527
ERR2604085__k119_260796	terpene	-_cellular organisms;d_Bacteria;-_environmental samples;s_uncultured marine bacterium 66A03	1.22783258687105	391
ERR2604085__k119_142867	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Methylococcales;f_Methylococcaceae;g_Methylomonas;-_unclassified Methylomonas;s_Methylomonas sp.	1.05248875427718	241
ERR2604085__k119_142956	terpene	-_cellular organisms;d_Eukaryota	1.17793459285152	97
ERR2604085__k119_281767	betalactone	-_cellular organisms;d_Bacteria	1.20399617034893	527
ERR2604085__k119_36025	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Methylococcales;f_Methylococcaceae;g_Methylomonas;-_unclassified Methylomonas;s_Methylomonas sp.	1.07978810132901	369
ERR2604103__k119_243219	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.04159554536108	391
ERR2604103__k119_199992	terpene	-_cellular organisms;d_Bacteria	1.17341767077665	391
ERR2604104__k119_30585	betalactone	-_cellular organisms;d_Bacteria	1.12846670567381	277
ERR2604104__k119_162779	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.02769627513478	541
ERR2604104__k119_213970	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.15289160080239	80
ERR2604104__k119_244681	arylpolyene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Candidatus Pelagibacterales;f_Pelagibacteraceae;g_Candidatus Pelagibacter;s_Candidatus Pelagibacter ubique;-_Candidatus Pelagibacter ubique HTCC1062	1.13399446260959	1026
ERR2604104__k119_905	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales	1.18029041593202	195
ERR2604104__k119_173743	terpene	-_cellular organisms;d_Bacteria	1.01896929823023	807
ERR2604104__k119_93411	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.18637311424613	391
ERR2604104__k119_174399	terpene	-_cellular organisms;d_Bacteria	1.20055018782515	391
ERR2604094__k119_34793	terpene	-_cellular organisms;d_Bacteria	1.18742182388721	391
ERR2604094__k119_42963	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.783283711649833	241
ERR2604094__k119_28573	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.2118359943037	391
ERR2604095__k119_164105	terpene	-_cellular organisms	0.993323958097264	334
ERR2604095__k119_26977	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.16147371518258	349
ERR2604095__k119_148585	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.06592650301254	541
ERR2604095__k119_62165	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	0.942857532755901	369
ERR2604095__k119_36645	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.17749129639078	838
ERR2604095__k119_54450	terpene	-_cellular organisms;d_Bacteria	0.9376201701451	334
ERR2604095__k119_158639	terpene	-_cellular organisms;d_Bacteria	1.16308560821433	97
ERR2604091__k119_164433	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.15339668907474	391
ERR2604091__k119_170327	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.0227535964895	241
ERR2604091__k119_170462	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Christiangramia;s_Christiangramia forsetii;-_Christiangramia forsetii KT0803	1.27816149030728	391
ERR2604091__k119_152104	terpene	-_cellular organisms;d_Bacteria	1.16911369722365	391
ERR2604091__k119_145788	terpene	-_cellular organisms;d_Bacteria	1.27748980496403	690
ERR2604091__k119_77388	terpene	-_cellular organisms;d_Bacteria	1.04489197099813	241
ERR2604091__k119_183926	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	1.05093602508003	241
ERR2604091__k119_58343	terpene	-_cellular organisms	1.15382148828074	391
ERR2604091__k119_64928	terpene	-_cellular organisms	1.2210357740007	391
ERR2604091__k119_33579	resorcinol	-_cellular organisms;d_Archaea	1.18518441202384	412
ERR2604080__k119_83019	terpene	-_cellular organisms;d_Bacteria	1.06172014528755	80
ERR2604080__k119_268532	betalactone	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales	1.15261239144259	192
ERR2604080__k119_21777	T3PKS	-_cellular organisms;d_Bacteria	0.992070434258722	465
ERR2604080__k119_11793	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.09779325994739	334
ERR2604080__k119_249125	terpene	-_cellular organisms;d_Bacteria	1.13061429956083	165
ERR2604080__k119_145915	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.18637311424613	391
ERR2604080__k119_95409	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.01826192079358	369
ERR2604080__k119_198913	terpene	-_cellular organisms;d_Bacteria	1.20833622282989	806
ERR2604080__k119_209557	betalactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.25613776806455	133
ERR2604080__k119_96067	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	1.07704652506077	391
ERR2604091__k119_184598	T1PKS	-_cellular organisms	0.858968953818689	1015
ERR2604091__k119_84060	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.18236271767307	572
ERR2604091__k119_178498	terpene	-_cellular organisms;d_Bacteria	1.20788998638102	3
ERR2604091__k119_116093	terpene	-_cellular organisms;d_Bacteria	1.17471102975124	80
ERR2604091__k119_97419	resorcinol	-_cellular organisms;d_Archaea	1.15621852619286	412
ERR2604091__k119_3330	terpene	-_cellular organisms	1.1893107063467	3
ERR2604091__k119_71967	terpene	-_cellular organisms	1.16613017412005	369
ERR2604091__k119_160391	terpene	-_cellular organisms	1.12800404471394	3
ERR2604091__k119_142180	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus elongatus;-_Synechococcus elongatus PCC 7942 = FACHB-805	1.15898776971031	241
ERR2604091__k119_72109	terpene	-_cellular organisms	1.23537586504719	690
ERR2604080__k119_241051	terpene	-_cellular organisms;d_Bacteria	1.16821803794895	80
ERR2604080__k119_261876	terpene	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda	1.26869265952904	391
ERR2604080__k119_179504	terpene	-_cellular organisms;d_Archaea	1.15382148828074	391
ERR2604080__k119_25069	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.18325969430034	541
ERR2604080__k119_117972	terpene	-_cellular organisms;d_Bacteria	1.17341767077665	391
ERR2604080__k119_118018	terpene	-_cellular organisms;d_Bacteria	1.25534914911714	391
ERR2604080__k119_231955	terpene	-_cellular organisms;d_Bacteria	1.1011774085363	391
ERR2604080__k119_14969	terpene	-_cellular organisms;d_Bacteria	0.950581600271274	321
ERR2604080__k119_98818	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.17391314484027	334
ERR2604080__k119_275597	terpene	-_cellular organisms;d_Bacteria	1.18046776188273	334
ERR2604090__k119_128614	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.13542121993958	31
ERR2604090__k119_206825	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.02466100583324	391
ERR2604090__k119_18610	terpene	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula japonica;-_Haloarcula japonica DSM 6131	0.804839867913126	334
ERR2604090__k119_199728	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.1555512613065	572
ERR2604090__k119_97687	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota	1.00429689042567	334
ERR2604090__k119_168734	terpene	-_cellular organisms;d_Bacteria	0.956365913643322	334
ERR2604090__k119_130258	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.06166327438552	391
ERR2604090__k119_224386	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.01077702331229	241
ERR2604101__k119_115232	terpene	-_cellular organisms;d_Bacteria	1.2118359943037	391
ERR2604101__k119_71355	terpene	-_cellular organisms;d_Bacteria	0.975568623778409	334
ERR2604107__k119_153252	terpene	-_cellular organisms	1.0350406433268	369
ERR2604107__k119_273037	NRPS-like	-_cellular organisms;d_Bacteria	1.14060595426715	133
ERR2604107__k119_54044	betalactone	-_cellular organisms;d_Bacteria	1.20737817827057	527
ERR2604107__k119_134500	terpene	-_cellular organisms;d_Bacteria	1.16707751011423	97
ERR2604107__k119_206435	T1PKS	-_cellular organisms	0.778488455520714	1015
ERR2604108__k119_86960	terpene	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group	0.881279048319198	334
ERR2604108__k119_164762	terpene	-_cellular organisms	1.15290051901717	16
ERR2604108__k119_174382	phosphonate	-_cellular organisms;d_Bacteria	1.22852900166593	16
ERR2604108__k119_213323	terpene	-_cellular organisms;d_Bacteria	1.13487047943089	16
ERR2604108__k119_79583	terpene	-_cellular organisms	0.826090647453403	334
ERR2604076__k119_123898	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.13542121993958	31
ERR2604077__k119_160840	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.05038469110726	454
ERR2604077__k119_96042	terpene	-_cellular organisms;d_Archaea	1.17451895344689	16
ERR2604077__k119_107908	terpene	-_cellular organisms;d_Bacteria	1.0524525715258	391
ERR2604077__k119_107912	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.97311439192808	241
ERR2604077__k119_14592	hserlactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.02769627513478	541
ERR2604077__k119_140697	terpene	-_cellular organisms	1.18844763326324	690
ERR2604077__k119_100272	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.10020814669238	31
ERR2604077__k119_112026	terpene	-_cellular organisms	1.17341767077665	391
ERR2604077__k119_95069	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales	1.0951823701556	541
ERR2604082__k119_66462	terpene	-_cellular organisms;d_Bacteria	1.22248834049632	809
ERR2604082__k119_38350	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.04812432944378	391
ERR2604082__k119_66686	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.04033422728251	391
ERR2604082__k119_20147	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota	1.20348812989301	80
ERR2604082__k119_39500	terpene	-_cellular organisms;d_Bacteria	0.966465685350245	807
ERR2604082__k119_101297	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.17178192322411	334
ERR2604082__k119_21358	terpene	-_cellular organisms;d_Bacteria	1.18670765457261	391
ERR2604082__k119_3180	terpene	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda	1.17341767077665	391
ERR2604082__k119_41229	T3PKS	-_cellular organisms	0.941534925257005	465
ERR2604082__k119_46275	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales	1.0603514558788	241
ERR2604104__k119_237638	terpene	-_cellular organisms;d_Bacteria	1.09460733671027	334
ERR2604104__k119_96120	T3PKS	-_cellular organisms;d_Bacteria	0.975381391207138	465
ERR2604104__k119_157035	terpene	-_cellular organisms;d_Bacteria	1.123013053394	553
ERR2604104__k119_117163	terpene	-_cellular organisms;d_Bacteria	1.00722336924335	391
ERR2604104__k119_127452	terpene	-_cellular organisms	1.19918660476632	3
ERR2604104__k119_16618	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	0.992971232893076	454
ERR2604104__k119_189328	RiPP-like	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.20827936949601	51
ERR2604104__k119_149988	betalactone	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.27138923699695	133
ERR2604104__k119_6490	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	0.980705012684196	369
ERR2604104__k119_130174	terpene	-_cellular organisms;d_Bacteria	0.923667729746064	334
ERR2604095__k119_126055	betalactone	-_cellular organisms;d_Bacteria	1.11728588871484	277
ERR2604095__k119_230819	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli K-12	1.27816149030728	391
ERR2604095__k119_100703	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	0.969222810942677	334
ERR2604095__k119_110774	terpene	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula japonica;-_Haloarcula japonica DSM 6131	0.939347713756292	334
ERR2604095__k119_50189	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.28757152457356	78
ERR2604095__k119_33659	terpene	-_cellular organisms;d_Bacteria	1.18670765457261	391
ERR2604095__k119_94406	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota	1.1157656424514	437
ERR2604096__k119_140006	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria	1.0626625525915	369
